Task No,Dev,Day,What,How,Status,Notes
2.4.3,Dev2,Day 4,Implement POST /api/outgrown endpoint,"In src/routes/outgrown.js: Accept {orderId userId conditionLabel}. Verify order is DELIVERED and no return exists. Fetch product. Create InventoryItem with source=OUTGROWN grade=A (assumed for outgrown listings) basePrice=product.mrp*0.6. Return created inventory item plus demand signal count.",TODO,source=OUTGROWN distinguishes from returned items in marketplace filtering
2.4.4,Dev2,Day 4,Implement GET /api/admin/overview endpoint,"In src/routes/admin.js: Query returns counts by status. Query inventory counts by status. Query marketplace orders count. Query total green credits. Compute per-DC inventory counts. Return comprehensive object with: returnsByStatus inventoryByStatus inventoryByGrade dcInventory totalGreenCredits totalCO2Saved costSavingsVsOldSystem.",TODO,costSavingsVsOldSystem = count(items) * (440 - average_reloop_cost)
2.4.5,Dev2,Day 4,Implement POST /api/marketplace/:id/buy endpoint,"In src/routes/marketplace.js add router.post('/:id/buy'). Accept {buyerId}. Verify inventory item is AVAILABLE. Calculate shipping cost. Create MarketplaceOrder. Update InventoryItem status to SOLD. Update Order status to SOLD (linked return). Award green credits to buyer (INSERT into green_credits_ledger UPDATE users.greenCredits). Return marketplace order.",TODO,This completes the full product lifecycle visible in Admin dashboard
2.4.6,Dev2,Day 4,Implement GET /api/green-credits?user_id= endpoint,"In src/routes/greenCredits.js: Fetch user with greenCredits greenTier. Fetch green_credits_ledger where userId sorted by createdAt desc. Compute tier based on credits: 0-99=SEEDLING 100-499=SAPLING 500-1999=TREE 2000+=FOREST. Return {balance tier history nextTier nextTierAt}.",TODO,Tier thresholds must match what Green Profile page displays
3.4.1,Dev3,Day 4,Create backend/src/lib/db.js Prisma singleton (if not done Day 1),"Verify src/lib/db.js exists and exports {prisma}. If not create it now. Import in every route file that needs DB access. Run a quick test query to confirm connection works.",TODO,All route files should use const {prisma} = require('../lib/db') at top
3.4.2,Dev3,Day 4,Add GradeConfig seed data and verify routing uses it,"In seed.js add GradeConfig records: A+(10% RESELL minMrp=100) A(20% RESELL 150) B(35% RESELL 3000) C(50% REFURBISH null) D(0% DONATE null) F(0% RECYCLE null). Re-run npx prisma db seed. In routing.js use GradeConfig.minMrp when checking if RESELL is viable.",TODO,GradeConfig in DB means business rules can be changed without code changes
3.4.3,Dev3,Day 4,Verify the Rs99 Pop Socket smart donate scenario works end-to-end,"Using Prisma Studio or curl: Confirm ret-018 (Pop Socket) has grading with routeDecision=DONATE. Confirm grade-018 has estimatedResaleValue=0. Call GET /api/marketplace?user_id=user-001 and verify Pop Socket does NOT appear in results (non-viable). This is a key demo moment.",TODO,"If it appears in results there's a bug in calculateViability — selling price Rs79 must be < totalCost Rs127 (local) so viable=false"
3.4.4,Dev3,Day 4,Load test the API with multiple concurrent requests,"Use curl or simple Node script to call GET /api/marketplace with 5 different user IDs simultaneously. Verify all return correct different pricing. Verify no Prisma connection pool errors. If needed add connection pooling or increase pool size in PrismaClient config.",TODO,During demo we switch users rapidly — must not timeout or crash
1.5.1,Dev1,Day 5,Build MyReturns page — timeline view,"In MyReturns.jsx: Fetch GET /api/returns?user_id=X. For each return show a card with product image name return reason and a status timeline. Timeline: INITIATED -> PICKED_UP -> RECEIVED_AT_DC -> GRADED -> ROUTED -> LISTED/DONATED/RECYCLED. Current status highlighted in green. Past steps filled. Future steps gray. Show date timestamps on completed steps.",TODO,ReturnFlow submits returns — MyReturns shows the result
1.5.2,Dev1,Day 5,Build GreenProfile page — credits + tier + impact,"In GreenProfile.jsx: Fetch GET /api/green-credits?user_id=X. Show at top: large credit balance number + tier badge (Seedling Sapling Tree Forest) with leaf icon. Progress bar to next tier. Below: impact stats 'You gave X products a second life' 'Saved X kg CO2'. Credits history table: date action amount description.",TODO,Tier colors: Seedling=green Sapling=emerald Tree=teal Forest=cyan
1.5.3,Dev1,Day 5,Add skeleton loaders to all pages that fetch data,"In Marketplace ProductDetail ReturnFlow AdminDashboard SellerDashboard: Add isLoading state. While isLoading=true show skeleton cards using animate-pulse bg-gray-200 rounded placeholders. On data load switch to real content. This makes the app feel polished and handles slow network.",TODO,Skeleton cards should match the approximate shape of real cards
1.5.4,Dev1,Day 5,Add error and empty states to all list pages,"For Marketplace: if no items returned show 'No products available in your area right now'. For MyReturns: if no returns show 'You have no returns yet — try returning a product'. For OutgrownIt: if no eligible orders show 'No past orders eligible for resale'. All empty states have an icon and a call-to-action link.",TODO,Empty states prevent jarring blank white pages during demo
1.5.5,Dev1,Day 5,Mobile responsiveness pass on all pages,"Go through each page and add Tailwind responsive prefixes: sm: md: lg:. Navbar: hamburger menu on mobile. Product grid: 1 col on mobile 2 on sm 3 on lg. ProductDetail: stack columns vertically on mobile. Seller table: horizontal scroll on small screens.",TODO,Judges may view on laptop — ensure 1280px width looks perfect. Mobile is bonus
1.5.6,Dev1,Day 5,Final UI polish — hover transitions animations review,"Add hover:shadow-lg transition-shadow to all cards. Add hover:bg-gray-50 to table rows. Ensure all buttons have hover states. Add transition-all duration-200 to interactive elements. Review spacing — ensure consistent padding across all pages using Tailwind p-4 p-6 p-8.",TODO,Takes 2-3 hours — do this LAST as it requires visual review
1.5.7,Dev1,Day 5,Create frontend/.env with VITE_API_URL pointing to EC2,"Create or update frontend/.env: VITE_API_URL=http://YOUR_EC2_IP:5000/api. In src/lib/api.js set baseURL as import.meta.env.VITE_API_URL. Rebuild frontend: npm run build. Test that it hits EC2 not localhost.",TODO,Switch from localhost to EC2 URL on Day 5 after backend is deployed
1.5.8,Dev1,Day 5,Final demo walkthrough — test all 7 demo scenarios,"Follow demo script exactly: Landing → Return Interception (switch to Priya) → Marketplace (switch users show different prices) → Product Detail (health card) → Return Flow (grade boAt earbuds live) → Seller Dashboard (batch grade demo) → Outgrown It (Rahul baby monitor). Fix any broken links or missing data.",TODO,Allocate 2 hours for this. Fix issues immediately. Do not skip any demo step
2.5.1,Dev2,Day 5,Implement POST /api/green-credits/award endpoint,"In src/routes/greenCredits.js add POST /award. Accept {userId amount action referenceId description}. Create GreenCreditLedger entry. Update users.greenCredits += amount. Update users.greenTier based on new balance. Return updated user.",TODO,Called internally from returns and marketplace buy — not directly from frontend
2.5.2,Dev2,Day 5,Add input validation and error handling to all endpoints,"Go through every route file. Add validation: check required fields exist check user exists before processing return check inventory item is AVAILABLE before buying. Wrap all DB calls in try/catch. Return proper HTTP status codes: 400 for bad input 404 for not found 500 for server errors with descriptive messages.",TODO,Without validation demo can crash on edge cases — judges might probe this
2.5.3,Dev2,Day 5,Add CORS header for Amplify frontend URL,"In src/index.js update cors config: cors({origin: [AMPLIFY_URL 'http://localhost:5173'] credentials:true}). Replace * with specific Amplify domain once Amplify app is created. Test from deployed frontend that CORS is not blocked.",TODO,* origin works for hackathon but updating to specific domain is better practice
2.5.4,Dev2,Day 5,End-to-end API test with the full demo flow,"Using the deployed EC2 backend URL run through all API calls in demo order: GET /api/users → GET /api/marketplace?user_id=user-009 → POST /api/returns → POST /api/returns/:id/method → POST /api/grading → GET /api/admin/overview → POST /api/outgrown. Verify each returns expected data.",TODO,Keep a Postman collection with all these calls saved for backup during demo
2.5.5,Dev2,Day 5,Performance check — add DB indexes if queries are slow,"If any API call takes >500ms run EXPLAIN ANALYZE on the slow query. The Prisma schema has @@index on common fields. If marketplace query is slow ensure index on inventory_items(status currentDcId grade) is present. Run: npx prisma migrate dev --name add_perf_indexes if needed.",TODO,Should not be needed with small seed data — but good to verify
3.5.1,Dev3,Day 5,Set up AWS RDS PostgreSQL instance — free tier,"Login to AWS Console. Go to RDS. Create database: PostgreSQL 16. Template: Free Tier. Instance: db.t3.micro. Storage: 20GB gp2. DB name: reloop. Set master username and password. Enable public access temporarily for migration. Note the endpoint URL.",TODO,Region: ap-south-1 (Mumbai). VPC security group must allow port 5432 from EC2 security group
3.5.2,Dev3,Day 5,Update DATABASE_URL to RDS endpoint and run migrations,"Update backend/.env with the RDS DATABASE_URL string: postgresql://user:password@rds-endpoint.amazonaws.com:5432/reloop. Run: npx prisma migrate deploy (uses existing migrations). Then run: node prisma/seed.js. Verify data in DB by querying.",TODO,migrate deploy (not dev) for production DB — does not create new migrations
3.5.3,Dev3,Day 5,Create AWS S3 bucket with public read access for images,"Go to AWS S3. Create bucket: reloop-hackathon-uploads in ap-south-1. Uncheck 'Block all public access'. Add bucket policy for public read: s3:GetObject on arn:aws:s3:::reloop-hackathon-uploads/*. Update backend .env with bucket name and AWS credentials.",TODO,Public bucket is acceptable for hackathon. Real production would use CloudFront
3.5.4,Dev3,Day 5,Deploy Express backend to AWS EC2 t2.micro,"Launch EC2 t2.micro (Amazon Linux 2). Set security group: allow port 22 (SSH) and 5000 (API). SSH in. Install Node 18 and PM2. Clone repo. cd backend && npm install. Create .env file with RDS URL Gemini key S3 creds. npx prisma migrate deploy && node prisma/seed.js. pm2 start src/index.js --name reloop-api. pm2 startup to survive reboots.",TODO,Test EC2 public IP: curl http://EC2-IP:5000/api/health — should return {status:ok}
3.5.5,Dev3,Day 5,Deploy React frontend to AWS Amplify,"Go to AWS Amplify Console. New app: Host web app. Connect GitHub. Select repo and branch. Set build settings: baseDirectory=frontend buildCommand='npm install && npm run build' outputDirectory=dist. Add environment variable VITE_API_URL=http://EC2-IP:5000/api. Deploy.",TODO,First deploy takes 3-5 minutes. Amplify gives a free HTTPS URL — use this for demo
3.5.6,Dev3,Day 5,Upload product images to S3 and update image URLs in DB,"Upload all 27 product images to S3 bucket under /images/ prefix. The images were placed in frontend/public/images/ by Dev1. Upload them to S3: aws s3 sync frontend/public/images/ s3://reloop-hackathon-uploads/images/. Update products.image_url in DB to use S3 URLs. Or configure Amplify to serve /public/images/ (simpler).",TODO,Simplest approach: keep images in frontend/public/images/ served by Amplify. No S3 needed for product images — S3 only for uploaded return photos
3.5.7,Dev3,Day 5,Final system health check — verify all AWS services are talking,"Test end-to-end from Amplify URL: Browse marketplace (Amplify → EC2 → RDS). Upload a photo in return flow (Amplify → EC2 → S3 → Gemini → RDS). Verify photo URL in DB is an S3 URL. Verify marketplace shows products from RDS. Check CloudWatch for any EC2 errors.",TODO,If any AWS service fails have localhost backup ready: frontend localhost:5173 backend localhost:5000
3.5.8,Dev3,Day 5,Prepare demo environment — seed fresh data and verify all scenarios,"Run node prisma/seed.js on production RDS to ensure fresh demo data. Verify in Amplify app: ret-013 (boAt earbuds) shows as RECEIVED_AT_DC with no grading. Priya's return (ret-016) shows as INITIATED triggering interception. Pop Socket shows DONATED not in marketplace. Rahul's baby monitor shows in orders page.",TODO,Create a prisma/reset-and-reseed.js script that deletes all data and re-seeds cleanly for demo reset
